,,,Guns By Date,,
Case Number,Booked,Description,Brand/Make Brand/Model,Serial #,
,Date,,,,
1999-,2/3/2016,JH-10A Benelli/HK Super 90 12-,Benelli Super 90,M255784,
13507,,gauge shotgun,,,
2003-,6/16/2016,DDO-2 US Carbine .30 Cal,Carbine 30,4702537,
7201,,,,,
2003-,6/16/2016,DDO-1 Marlin .22 cal Rifle,Marlin 40,4702537,
7201,,,,,
2003-,6/16/2016,DDO-3 Remington Shotgun,Remington unknown,496490,
7201,,,,,
2004-,5/26/2016,RMM-1; 9mm Hi-Point,Hi-Point C,P214703,
896,,,,,
2004-,6/3/2016,"JAB-01, ROHM .22 CAL",ROHM,IB251127,
9946,,,,,
2004-,5/26/2016,RMM-1; Smith & Wesson .357,Smith & Wesson 66,7K88172,
10138,,,,,
2006-,7/14/2016,BC-1 Erma .22 caliber pistol,RX-22,J20843,
12345,,found in Gun Room with no case,,,
,,number. Pre 2007. Given case,,,
,,06-12345,,,
2008-,7/15/2016,"GCO-2 Sig Sauer P229, 40 cal,",Sig Sauer P229,AL35910,
9353,,serial number AL35910,,,
2010-,6/3/2016,"DAC-1, SMITH & WESSON .22",422,TAI2918,
5519,,CAL,,,
2011-,3/6/2016,ATM 2- Benelli Armi shotgun,Benelli Vinici,BG00743,
878,,barrel,,,
2011-,3/6/2016,ATM - 1 Benelli Armi shotgun,Benelli Vinici,BG00746,
878,,receiver,,,
2014-,10/9/2016,"JAJ-1 Smith & Wesson revolver,",Smith&Wesson unk,CMU8914,
21414,,SN: CMU8914 (Re entered for,,,
,,valid barcode),,,
2014-,6/3/2016,"BAB-5, SIG SAUER BLACK",Sig Sauer 238,27864403,
44007,,P238 W/ SMALL MAGAZINE,,,
2015-,6/3/2016,"RSK-3, SIG SAUER P229 .40",P229,AD32370,
29709,,CAL PISTOL,,,
2015-,6/3/2016,RSK-1 STOEGER M3500 12,M3500,1426620,
29709,,GAUGE SHOTGUN,,,
2015-,4/19/2016,"KMC1-JKC1, two 9mm shell",Ruger P95,316-5116,
48807,,casings for IBIS,,,
2015-,4/19/2016,KMC1-TSW1; Two 9mm casings,Smith & Wesson SD9VE,FWR0801,
49587,,for IBIS,,,
52087,,casings for IBIS,,,
2015-,4/19/2016,KMC1-MLV10; Two .40 caliber,Smith & Wesson,Sigma SW40G,PBH3394
55714,,casings for IBIS,,,
2015-,4/19/2016,KMC1-BJM1; Two .45 caliber,Springfield,XDm-.45 ACP,MG51327
56898,,casings for IBIS,,,
2015-,4/19/2016,KMC1-MJG1; Two 9mm casings,Ruger,P89DC,305-1263
57290,,for IBIS,,,
2015-,4/19/2016,KMC1-WSH4; Two .45 caliber,Ruger,P90,660-0117
59454,,casings for IBIS,,,
2015-,11/10/2016,RAN-28 Marlin model 336 30-30,,336,3048175
62848,,caliber SN#03048175,,,
2015-,4/19/2016,KMC1-BCB1; Two 9mm casings,Glock 19,Gen 4,ZDC245
63085,,for IBIS,,,
2016-,10/15/2016,DK1- Model 77 Winchester for,,77,124557
0,,destruction,,,
